Name,Pos,Drafted,Retired,Pick,Peak Year,Team,G,MP,PTS,TRB,AST,PER,EWA,WS,WS/48,Total G,Total MP,Total PTS,Total TRB,Total AST,Total PER,Total EWA,Total WS,Total WS/48
Paul George,GF,2010,N,10,2019,OKC,77,36.9,28,8.2,4.1,23.3,14.5,11.9,0.201,793,33.6,20.6,6.4,3.7,19.4,94.2,81.2,0.146
Moses Malone,FC,1976,Y,0,1982,HOU,81,42,31.1,14.7,1.8,26.8,21.3,15.4,0.218,1329,33.9,20.6,12.2,1.4,22.3,201.9,167.2,0.178
Tracy McGrady,GF,1997,Y,9,2003,ORL,75,39.4,32.1,6.5,5.5,30.3,23.3,16.1,0.262,938,32.7,19.6,5.6,4.4,22.1,141.9,97.1,0.152
Scottie Pippen,SF,1987,Y,5,1995,CHI,79,38.2,21.4,8.1,5.2,22.6,14.5,11.8,0.188,1178,34.9,16.1,6.4,5.2,18.6,133,125,0.146
Dolph Schayes,FC,1948,Y,4,1957,PHI,72,39.6,22.5,14,3.2,24.6,15.4,12.5,0.21,996,29.9,18.5,11.3,3.1,22.1,131,142.1,0.229
Anthony Davis,FC,2012,N,1,2018,NOL,75,36.4,28.1,11.1,2.3,28.9,19.4,13.7,0.241,660,34.4,24,10.4,2.4,27,143.8,100.3,0.212
Jimmy Butler,GF,2011,N,30,2017,CHI,76,37,23.9,6.2,5.5,25.1,16.3,13.9,0.238,754,33.2,18.2,5.3,4.2,21.6,110.9,105.9,0.203
Luka Dončić,G,2018,N,3,2023,DAL,66,36.2,32.4,8.6,8,28.7,17.1,10.2,0.205,330,34.3,27.6,8.6,8,25.2,65.2,39.2,0.166
Julius Erving,SF,1972,Y,12,1982,PHI,81,34.4,24.4,6.9,3.9,25.9,17.1,13.3,0.229,836,34.3,22,6.7,3.9,22,130.9,106.4,0.178
Kawhi Leonard,SF,2011,N,15,2017,SA,74,33.4,25.5,5.8,3.5,27.6,16.8,13.6,0.264,628,31.5,19.6,6.4,3,23.4,101.7,90.4,0.219
George Mikan,C,1948,Y,0,1953,LAL,70,37.9,20.6,14.4,2.9,28.5,18.9,14.6,0.264,439,19,23.1,9.5,2.8,27.1,54.8,108.6,0.624
Rick Barry,SF,1965,Y,4,1967,GS,78,40.7,35.6,9.2,3.6,24.2,17.3,14.4,0.218,794,36.3,23.2,6.5,5.1,20.2,111.1,93.5,0.156
Patrick Ewing,FC,1985,Y,1,1990,NYC,82,38.6,28.6,10.9,2.2,25.8,18.6,13.6,0.206,1183,34.3,21,9.8,1.9,21,161,126.4,0.149
Tiny Archibald,PG,1970,Y,19,1973,SAC,80,46,34,2.8,11.4,25.2,20.8,14.2,0.185,876,35.6,18.8,2.3,7.4,18,86.8,83.3,0.128
Clyde Drexler,SG,1983,Y,14,1988,POR,81,37.8,27,6.6,5.8,24.1,16.6,13.2,0.207,1086,34.6,20.4,6.1,5.6,21.1,158,135.8,0.174
Paul Pierce,GF,1998,Y,10,2006,BOS,79,39,26.8,6.7,4.7,23.6,16.1,11.5,0.179,1343,34.2,19.7,5.6,3.5,19.7,168.7,150.2,0.157
